complaint_id,category,subcategory,title,description,location_address,ward_number,latitude,longitude,priority,status,created_date,resolved_date,resolution_time_hours
1469,"electricity","outage","Power cuts 2 times daily in HSR Layout","Power cuts 2 times daily in HSR Layout. Work disruption.","HSR Layout Ward 108",145,12.9740,77.6648,"medium","pending",2024-10-16,,
1470,"electricity","outage","Power cuts 5 times daily in JP Nagar","Power cuts 5 times daily in JP Nagar. Work disruption.","JP Nagar Ward 153",168,12.9736,77.5337,"medium","in-progress",2024-07-14,,
1471,"electricity","streetlight","Power cuts 11 times daily in Whitefield","Power cuts 11 times daily in Whitefield. Work disruption.","Whitefield Ward 156",174,12.8335,77.5859,"medium","resolved",2024-08-17,2024-08-21,89
1472,"water","pressure","Water meter malfunction in RT Nagar","Water meter malfunction in RT Nagar. Billing discrepancy issues.","RT Nagar Ward 146",122,13.0887,77.6723,"medium","pending",2024-02-21,,
1473,"electricity","billing","Voltage fluctuations damaging electronics in JP Nagar","Voltage fluctuations damaging electronics in JP Nagar.","JP Nagar Ward 62",175,12.9958,77.4809,"medium","pending",2024-07-01,,
1474,"electricity","streetlight","Voltage fluctuations damaging electronics in Sarjapur Road","Voltage fluctuations damaging electronics in Sarjapur Road.","Sarjapur Road Ward 123",117,13.0362,77.5802,"medium","escalated",2024-08-14,,
1475,"water","quality","Pipeline leakage near hospital wasting water for past 2 days","Pipeline leakage near hospital wasting water for past 2 days.","BTM Layout Ward 9",179,12.9150,77.5983,"medium","pending",2024-09-11,,
1476,"electricity","streetlight","Power cuts 6 times daily in Whitefield","Power cuts 6 times daily in Whitefield. Work disruption.","Whitefield Ward 70",73,12.9711,77.4704,"medium","pending",2024-08-11,,
1477,"water","supply","Pipeline leakage near church wasting water for past 6 days","Pipeline leakage near church wasting water for past 6 days.","Sarjapur Road Ward 67",109,12.8657,77.5308,"medium","resolved",2024-05-15,2024-05-17,42
1478,"water","pressure","Irregular water supply schedule in HSR Layout","Irregular water supply schedule in HSR Layout. Request for timely supply.","HSR Layout Ward 45",191,12.8382,77.5538,"medium","escalated",2024-09-08,,
1479,"water","leakage","Pipeline leakage near school wasting water for past 2 days","Pipeline leakage near school wasting water for past 2 days.","CV Raman Nagar Ward 151",155,13.0203,77.5619,"medium","escalated",2024-06-05,,
1480,"electricity","outage","Street lights not working in BTM Layout for 6 days","Street lights not working in BTM Layout for 6 days. Safety concern.","BTM Layout Ward 61",2,12.9289,77.5308,"medium","resolved",2024-09-24,2024-09-24,4
1481,"electricity","billing","Power cuts 6 times daily in Rajajinagar","Power cuts 6 times daily in Rajajinagar. Work disruption.","Rajajinagar Ward 50",131,13.1177,77.6796,"medium","resolved",2024-02-19,2024-02-20,8
1482,"roads","flooding","Road marking faded on CV Raman Nagar causing confusion","Road marking faded on CV Raman Nagar causing confusion.","CV Raman Nagar Ward 87",84,13.0071,77.6422,"medium","escalated",2024-10-13,,
1483,"water","quality","Pipeline leakage near police station wasting water for past 1 days","Pipeline leakage near police station wasting water for past 1 days.","Kammanahalli Ward 161",194,12.9931,77.4999,"medium","in-progress",2024-03-24,,
1484,"roads","maintenance","Road marking faded on Sarjapur Road causing confusion","Road marking faded on Sarjapur Road causing confusion.","Sarjapur Road Ward 81",67,13.0887,77.4980,"medium","in-progress",2024-03-25,,
1485,"water","supply","Low water pressure in Electronic City during morning hours","Low water pressure in Electronic City during morning hours. Difficulty filling tanks.","Electronic City Ward 77",7,13.1004,77.5603,"medium","escalated",2024-10-17,,
1486,"electricity","streetlight","Electric pole damaged near church","Electric pole damaged near church. Needs repair.","JP Nagar Ward 194",155,13.0519,77.6447,"medium","escalated",2024-12-23,,
1487,"water","quality","Water meter malfunction in Electronic City","Water meter malfunction in Electronic City. Billing discrepancy issues.","Electronic City Ward 167",144,13.1183,77.7228,"medium","in-progress",2024-07-05,,
1488,"roads","pothole","Multiple potholes on RT Nagar road","Multiple potholes on RT Nagar road. Vehicle damage risk.","RT Nagar Ward 35",175,13.0672,77.4691,"medium","pending",2024-08-15,,
1489,"electricity","streetlight","Electric pole damaged near school","Electric pole damaged near school. Needs repair.","Koramangala Ward 164",180,12.8412,77.5591,"medium","pending",2024-05-22,,
1490,"roads","pothole","Road surface damaged in Whitefield","Road surface damaged in Whitefield. Needs resurfacing.","Whitefield Ward 32",82,12.9352,77.4860,"medium","resolved",2024-12-13,2024-12-16,76
1491,"electricity","billing","Power cuts 11 times daily in CV Raman Nagar","Power cuts 11 times daily in CV Raman Nagar. Work disruption.","CV Raman Nagar Ward 93",116,13.1031,77.4734,"medium","in-progress",2024-10-13,,
1492,"roads","maintenance","Waterlogging issue in Vijayanagar during monsoon","Waterlogging issue in Vijayanagar during monsoon.","Vijayanagar Ward 78",194,12.8548,77.6593,"medium","escalated",2024-01-16,,
1493,"water","pressure","Pipeline leakage near bus stop wasting water for past 3 days","Pipeline leakage near bus stop wasting water for past 3 days.","Jayanagar Ward 168",135,12.8281,77.7364,"medium","pending",2024-05-06,,
1494,"roads","maintenance","Road surface damaged in BTM Layout","Road surface damaged in BTM Layout. Needs resurfacing.","BTM Layout Ward 36",191,12.9911,77.5577,"medium","resolved",2024-01-13,2024-01-18,114
1495,"roads","maintenance","Waterlogging issue in Basavanagudi during monsoon","Waterlogging issue in Basavanagudi during monsoon.","Basavanagudi Ward 144",39,12.8228,77.6562,"medium","in-progress",2024-08-20,,
1496,"roads","repair","Road marking faded on Basavanagudi causing confusion","Road marking faded on Basavanagudi causing confusion.","Basavanagudi Ward 154",56,13.0512,77.6610,"medium","pending",2024-04-27,,
1497,"roads","maintenance","Road marking faded on Basavanagudi causing confusion","Road marking faded on Basavanagudi causing confusion.","Basavanagudi Ward 123",200,12.9614,77.5986,"medium","in-progress",2024-09-26,,
1498,"electricity","outage","Street lights not working in CV Raman Nagar for 7 days","Street lights not working in CV Raman Nagar for 7 days. Safety concern.","CV Raman Nagar Ward 189",116,12.8658,77.4777,"medium","resolved",2024-05-05,2024-05-10,106
1499,"electricity","billing","Street lights not working in Sarjapur Road for 3 days","Street lights not working in Sarjapur Road for 3 days. Safety concern.","Sarjapur Road Ward 13",100,12.9788,77.4813,"medium","pending",2024-08-18,,
1500,"water","quality","Water meter malfunction in Banashankari","Water meter malfunction in Banashankari. Billing discrepancy issues.","Banashankari Ward 108",24,13.0730,77.6506,"medium","escalated",2024-06-27,,
1501,"electricity","outage","Street lights not working in Malleshwaram for 3 days","Street lights not working in Malleshwaram for 3 days. Safety concern.","Malleshwaram Ward 57",68,12.8254,77.4795,"medium","in-progress",2024-08-19,,
1502,"water","supply","Pipeline leakage near market area wasting water for past 7 days","Pipeline leakage near market area wasting water for past 7 days.","BTM Layout Ward 15",102,12.9898,77.7194,"medium","resolved",2024-09-20,2024-09-21,15
1503,"electricity","outage","Street lights not working in Sarjapur Road for 5 days","Street lights not working in Sarjapur Road for 5 days. Safety concern.","Sarjapur Road Ward 115",133,13.0886,77.7324,"medium","in-progress",2024-02-14,,
1504,"water","pressure","Pipeline leakage near metro station wasting water for past 5 days","Pipeline leakage near metro station wasting water for past 5 days.","Basavanagudi Ward 192",138,12.8589,77.6784,"medium","in-progress",2024-01-14,,
1505,"roads","maintenance","Waterlogging issue in Hebbal during monsoon","Waterlogging issue in Hebbal during monsoon.","Hebbal Ward 117",198,12.8961,77.6445,"medium","pending",2024-08-25,,
1506,"water","leakage","Low water pressure in BTM Layout during morning hours","Low water pressure in BTM Layout during morning hours. Difficulty filling tanks.","BTM Layout Ward 4",16,12.9951,77.6539,"medium","escalated",2024-03-04,,
1507,"roads","flooding","Multiple potholes on Vijayanagar road","Multiple potholes on Vijayanagar road. Vehicle damage risk.","Vijayanagar Ward 42",1,13.0371,77.4625,"medium","escalated",2024-09-24,,
1508,"electricity","transformer","Voltage fluctuations damaging electronics in CV Raman Nagar","Voltage fluctuations damaging electronics in CV Raman Nagar.","CV Raman Nagar Ward 132",86,12.8849,77.5943,"medium","escalated",2024-05-03,,
1509,"roads","maintenance","Road surface damaged in BTM Layout","Road surface damaged in BTM Layout. Needs resurfacing.","BTM Layout Ward 104",61,13.0739,77.7226,"medium","resolved",2024-11-05,2024-11-09,87
1510,"water","leakage","Pipeline leakage near main junction wasting water for past 3 days","Pipeline leakage near main junction wasting water for past 3 days.","HSR Layout Ward 37",10,12.8588,77.5277,"medium","escalated",2024-02-13,,
1511,"water","leakage","Water meter malfunction in Basavanagudi","Water meter malfunction in Basavanagudi. Billing discrepancy issues.","Basavanagudi Ward 98",116,12.8797,77.5430,"medium","in-progress",2024-03-02,,
1512,"water","pressure","Pipeline leakage near police station wasting water for past 5 days","Pipeline leakage near police station wasting water for past 5 days.","Basavanagudi Ward 193",139,13.0781,77.7218,"medium","resolved",2024-01-11,2024-01-14,76
1513,"water","leakage","Pipeline leakage near park entrance wasting water for past 7 days","Pipeline leakage near park entrance wasting water for past 7 days.","HSR Layout Ward 198",148,13.0111,77.7131,"medium","pending",2024-12-11,,
1514,"roads","repair","Waterlogging issue in CV Raman Nagar during monsoon","Waterlogging issue in CV Raman Nagar during monsoon.","CV Raman Nagar Ward 167",169,12.9368,77.4971,"medium","resolved",2024-02-18,2024-02-19,20
1515,"roads","flooding","Waterlogging issue in Banashankari during monsoon","Waterlogging issue in Banashankari during monsoon.","Banashankari Ward 41",89,12.8456,77.5562,"medium","in-progress",2024-11-11,,
1516,"water","pressure","Water meter malfunction in Yelahanka","Water meter malfunction in Yelahanka. Billing discrepancy issues.","Yelahanka Ward 107",135,12.8546,77.4763,"medium","resolved",2024-05-04,2024-05-07,67
1517,"water","quality","Pipeline leakage near main junction wasting water for past 7 days","Pipeline leakage near main junction wasting water for past 7 days.","Jayanagar Ward 59",149,12.9883,77.4775,"medium","in-progress",2024-11-25,,
1518,"water","supply","Irregular water supply schedule in BTM Layout","Irregular water supply schedule in BTM Layout. Request for timely supply.","BTM Layout Ward 148",35,12.9435,77.7429,"medium","pending",2024-02-20,,
1519,"electricity","outage","Voltage fluctuations damaging electronics in Hebbal","Voltage fluctuations damaging electronics in Hebbal.","Hebbal Ward 68",94,13.0274,77.5441,"medium","escalated",2024-04-17,,
1520,"electricity","outage","Street lights not working in BTM Layout for 1 days","Street lights not working in BTM Layout for 1 days. Safety concern.","BTM Layout Ward 25",178,12.9207,77.6046,"medium","pending",2024-06-13,,
1521,"electricity","streetlight","Electric pole damaged near park entrance","Electric pole damaged near park entrance. Needs repair.","Kammanahalli Ward 61",47,12.9288,77.7063,"medium","pending",2024-04-01,,
1522,"water","quality","Pipeline leakage near bus stop wasting water for past 2 days","Pipeline leakage near bus stop wasting water for past 2 days.","Electronic City Ward 9",143,13.0501,77.5179,"medium","escalated",2024-02-19,,
1523,"roads","pothole","Road marking faded on JP Nagar causing confusion","Road marking faded on JP Nagar causing confusion.","JP Nagar Ward 4",79,13.0891,77.5322,"medium","pending",2024-02-15,,
1524,"electricity","transformer","Electric pole damaged near commercial center","Electric pole damaged near commercial center. Needs repair.","Jayanagar Ward 11",21,13.1077,77.5137,"medium","in-progress",2024-10-12,,
1525,"electricity","streetlight","Power cuts 7 times daily in BTM Layout","Power cuts 7 times daily in BTM Layout. Work disruption.","BTM Layout Ward 2",129,12.9446,77.6949,"medium","resolved",2024-10-04,2024-10-07,68
1526,"water","leakage","Irregular water supply schedule in Whitefield","Irregular water supply schedule in Whitefield. Request for timely supply.","Whitefield Ward 89",159,13.0280,77.4911,"medium","resolved",2024-06-13,2024-06-18,107
1527,"roads","repair","Road marking faded on BTM Layout causing confusion","Road marking faded on BTM Layout causing confusion.","BTM Layout Ward 22",181,13.1035,77.6671,"medium","pending",2024-06-14,,
1528,"roads","repair","Road marking faded on JP Nagar causing confusion","Road marking faded on JP Nagar causing confusion.","JP Nagar Ward 72",172,12.9465,77.6670,"medium","resolved",2024-10-27,2024-10-29,30
1529,"roads","repair","Road surface damaged in CV Raman Nagar","Road surface damaged in CV Raman Nagar. Needs resurfacing.","CV Raman Nagar Ward 119",23,12.8255,77.6754,"medium","resolved",2024-05-21,2024-05-22,9
1530,"water","supply","Low water pressure in Whitefield during morning hours","Low water pressure in Whitefield during morning hours. Difficulty filling tanks.","Whitefield Ward 168",174,12.9025,77.6583,"medium","escalated",2024-10-17,,
1531,"water","supply","Low water pressure in Koramangala during morning hours","Low water pressure in Koramangala during morning hours. Difficulty filling tanks.","Koramangala Ward 140",109,13.0457,77.6384,"medium","pending",2024-07-02,,
1532,"roads","repair","Multiple potholes on Marathahalli road","Multiple potholes on Marathahalli road. Vehicle damage risk.","Marathahalli Ward 118",11,12.8953,77.6807,"medium","pending",2024-04-24,,
1533,"water","pressure","Irregular water supply schedule in Whitefield","Irregular water supply schedule in Whitefield. Request for timely supply.","Whitefield Ward 59",36,12.8741,77.4670,"medium","in-progress",2024-05-18,,
1534,"water","pressure","Irregular water supply schedule in Whitefield","Irregular water supply schedule in Whitefield. Request for timely supply.","Whitefield Ward 175",77,13.0011,77.6146,"medium","in-progress",2024-12-27,,
1535,"electricity","billing","Street lights not working in Rajajinagar for 6 days","Street lights not working in Rajajinagar for 6 days. Safety concern.","Rajajinagar Ward 83",52,12.9307,77.4725,"medium","escalated",2024-06-20,,
1536,"electricity","streetlight","Voltage fluctuations damaging electronics in Malleshwaram","Voltage fluctuations damaging electronics in Malleshwaram.","Malleshwaram Ward 45",44,12.8909,77.5019,"medium","pending",2024-08-17,,
1537,"electricity","transformer","Electric pole damaged near commercial center","Electric pole damaged near commercial center. Needs repair.","Electronic City Ward 126",96,12.9634,77.6047,"medium","pending",2024-05-14,,
1538,"roads","pothole","Waterlogging issue in Electronic City during monsoon","Waterlogging issue in Electronic City during monsoon.","Electronic City Ward 5",3,12.8250,77.4592,"medium","escalated",2024-01-06,,
1539,"roads","pothole","Road marking faded on CV Raman Nagar causing confusion","Road marking faded on CV Raman Nagar causing confusion.","CV Raman Nagar Ward 14",23,12.8847,77.7391,"medium","in-progress",2024-05-10,,
1540,"electricity","outage","Electric pole damaged near bus stop","Electric pole damaged near bus stop. Needs repair.","CV Raman Nagar Ward 148",123,13.0580,77.6287,"medium","resolved",2024-10-26,2024-10-31,111
1541,"roads","pothole","Waterlogging issue in Banashankari during monsoon","Waterlogging issue in Banashankari during monsoon.","Banashankari Ward 173",182,12.9113,77.6435,"medium","escalated",2024-10-31,,
1542,"water","quality","Irregular water supply schedule in Marathahalli","Irregular water supply schedule in Marathahalli. Request for timely supply.","Marathahalli Ward 23",55,12.9605,77.6219,"medium","in-progress",2024-03-23,,
1543,"water","leakage","Low water pressure in Rajajinagar during morning hours","Low water pressure in Rajajinagar during morning hours. Difficulty filling tanks.","Rajajinagar Ward 26",182,12.8773,77.4885,"medium","resolved",2024-09-23,2024-09-28,120
1544,"roads","pothole","Multiple potholes on Koramangala road","Multiple potholes on Koramangala road. Vehicle damage risk.","Koramangala Ward 81",85,12.9259,77.7069,"medium","pending",2024-04-26,,
1545,"roads","maintenance","Waterlogging issue in Indiranagar during monsoon","Waterlogging issue in Indiranagar during monsoon.","Indiranagar Ward 157",15,12.9936,77.4898,"medium","pending",2024-03-19,,
1546,"roads","repair","Multiple potholes on RT Nagar road","Multiple potholes on RT Nagar road. Vehicle damage risk.","RT Nagar Ward 142",143,12.9814,77.5652,"medium","resolved",2024-06-14,2024-06-15,17
1547,"electricity","streetlight","Power cuts 12 times daily in Electronic City","Power cuts 12 times daily in Electronic City. Work disruption.","Electronic City Ward 111",61,12.9854,77.5336,"medium","in-progress",2024-12-05,,
1548,"water","quality","Water meter malfunction in JP Nagar","Water meter malfunction in JP Nagar. Billing discrepancy issues.","JP Nagar Ward 63",50,13.1163,77.5717,"medium","resolved",2024-09-02,2024-09-07,109
1549,"roads","flooding","Multiple potholes on Marathahalli road","Multiple potholes on Marathahalli road. Vehicle damage risk.","Marathahalli Ward 125",154,12.9033,77.6612,"medium","pending",2024-01-20,,
1550,"roads","repair","Road surface damaged in Hebbal","Road surface damaged in Hebbal. Needs resurfacing.","Hebbal Ward 93",153,12.8219,77.5359,"medium","in-progress",2023-12-31,,
1551,"water","quality","Low water pressure in Kammanahalli during morning hours","Low water pressure in Kammanahalli during morning hours. Difficulty filling tanks.","Kammanahalli Ward 115",154,12.8497,77.5737,"medium","pending",2024-11-21,,
1552,"roads","pothole","Waterlogging issue in CV Raman Nagar during monsoon","Waterlogging issue in CV Raman Nagar during monsoon.","CV Raman Nagar Ward 185",9,12.8237,77.7286,"medium","escalated",2024-05-14,,
1553,"roads","repair","Road surface damaged in CV Raman Nagar","Road surface damaged in CV Raman Nagar. Needs resurfacing.","CV Raman Nagar Ward 141",69,12.9712,77.5106,"medium","resolved",2024-01-12,2024-01-16,96
1554,"water","leakage","Pipeline leakage near church wasting water for past 2 days","Pipeline leakage near church wasting water for past 2 days.","Jayanagar Ward 198",167,13.0220,77.4494,"medium","pending",2024-08-02,,
1555,"roads","pothole","Multiple potholes on Koramangala road","Multiple potholes on Koramangala road. Vehicle damage risk.","Koramangala Ward 32",70,13.0770,77.6165,"medium","pending",2024-12-12,,
1556,"roads","flooding","Multiple potholes on RT Nagar road","Multiple potholes on RT Nagar road. Vehicle damage risk.","RT Nagar Ward 119",30,12.9019,77.7010,"medium","in-progress",2024-10-13,,
1557,"roads","repair","Road surface damaged in Hebbal","Road surface damaged in Hebbal. Needs resurfacing.","Hebbal Ward 115",156,12.9708,77.6580,"medium","pending",2024-08-31,,
1558,"water","leakage","Pipeline leakage near post office wasting water for past 4 days","Pipeline leakage near post office wasting water for past 4 days.","HSR Layout Ward 44",149,13.0918,77.6459,"medium","resolved",2024-11-10,2024-11-15,120
1559,"roads","maintenance","Road surface damaged in Jayanagar","Road surface damaged in Jayanagar. Needs resurfacing.","Jayanagar Ward 50",98,12.8745,77.4709,"medium","in-progress",2024-06-13,,
1560,"water","pressure","Pipeline leakage near school wasting water for past 7 days","Pipeline leakage near school wasting water for past 7 days.","Yelahanka Ward 148",16,12.9793,77.5103,"medium","escalated",2024-02-20,,
1561,"roads","flooding","Multiple potholes on Yelahanka road","Multiple potholes on Yelahanka road. Vehicle damage risk.","Yelahanka Ward 84",54,13.0628,77.6787,"medium","pending",2024-06-14,,
1562,"roads","pothole","Road surface damaged in Electronic City","Road surface damaged in Electronic City. Needs resurfacing.","Electronic City Ward 63",141,12.8367,77.6070,"medium","resolved",2024-11-25,2024-11-26,15
1563,"roads","pothole","Waterlogging issue in Yelahanka during monsoon","Waterlogging issue in Yelahanka during monsoon.","Yelahanka Ward 47",132,12.9744,77.4818,"medium","escalated",2024-07-09,,
1564,"electricity","streetlight","Electric pole damaged near market area","Electric pole damaged near market area. Needs repair.","BTM Layout Ward 181",4,13.0198,77.4662,"medium","resolved",2024-06-22,2024-06-25,75
1565,"electricity","transformer","Power cuts 3 times daily in CV Raman Nagar","Power cuts 3 times daily in CV Raman Nagar. Work disruption.","CV Raman Nagar Ward 174",96,12.9882,77.5643,"medium","escalated",2024-06-10,,
1566,"water","pressure","Low water pressure in Jayanagar during morning hours","Low water pressure in Jayanagar during morning hours. Difficulty filling tanks.","Jayanagar Ward 34",200,13.0717,77.5856,"medium","in-progress",2024-03-04,,
1567,"electricity","billing","Power cuts 12 times daily in Whitefield","Power cuts 12 times daily in Whitefield. Work disruption.","Whitefield Ward 76",99,13.0503,77.4769,"medium","in-progress",2024-06-13,,
1568,"water","leakage","Low water pressure in CV Raman Nagar during morning hours","Low water pressure in CV Raman Nagar during morning hours. Difficulty filling tanks.","CV Raman Nagar Ward 149",78,12.8916,77.5629,"medium","in-progress",2024-02-27,,
1569,"roads","maintenance","Road surface damaged in Koramangala","Road surface damaged in Koramangala. Needs resurfacing.","Koramangala Ward 43",161,13.0733,77.6679,"medium","pending",2024-07-24,,
1570,"roads","pothole","Waterlogging issue in Whitefield during monsoon","Waterlogging issue in Whitefield during monsoon.","Whitefield Ward 191",38,13.1010,77.5399,"medium","pending",2024-04-25,,
1571,"roads","pothole","Road marking faded on Banashankari causing confusion","Road marking faded on Banashankari causing confusion.","Banashankari Ward 162",197,12.9628,77.6838,"medium","in-progress",2024-11-14,,
1572,"water","leakage","Low water pressure in Marathahalli during morning hours","Low water pressure in Marathahalli during morning hours. Difficulty filling tanks.","Marathahalli Ward 81",13,12.8621,77.4523,"medium","in-progress",2024-06-16,,
1573,"electricity","billing","Street lights not working in Rajajinagar for 3 days","Street lights not working in Rajajinagar for 3 days. Safety concern.","Rajajinagar Ward 157",13,13.0871,77.4704,"medium","in-progress",2024-08-25,,
1574,"water","supply","Low water pressure in Sarjapur Road during morning hours","Low water pressure in Sarjapur Road during morning hours. Difficulty filling tanks.","Sarjapur Road Ward 33",16,12.9383,77.5424,"medium","pending",2024-01-11,,
1575,"roads","repair","Road surface damaged in Kammanahalli","Road surface damaged in Kammanahalli. Needs resurfacing.","Kammanahalli Ward 105",176,12.8720,77.7024,"medium","in-progress",2024-11-23,,
1576,"water","leakage","Water meter malfunction in Basavanagudi","Water meter malfunction in Basavanagudi. Billing discrepancy issues.","Basavanagudi Ward 40",86,12.8338,77.5111,"medium","in-progress",2024-03-21,,
1577,"water","supply","Water meter malfunction in Sarjapur Road","Water meter malfunction in Sarjapur Road. Billing discrepancy issues.","Sarjapur Road Ward 119",112,12.9425,77.4738,"medium","resolved",2024-01-27,2024-02-01,102
1578,"electricity","billing","Street lights not working in Koramangala for 7 days","Street lights not working in Koramangala for 7 days. Safety concern.","Koramangala Ward 115",49,12.9409,77.5266,"medium","escalated",2024-05-17,,
1579,"roads","flooding","Road surface damaged in RT Nagar","Road surface damaged in RT Nagar. Needs resurfacing.","RT Nagar Ward 144",81,12.9430,77.5167,"medium","in-progress",2024-07-14,,
1580,"roads","repair","Waterlogging issue in HSR Layout during monsoon","Waterlogging issue in HSR Layout during monsoon.","HSR Layout Ward 1",100,13.0214,77.5639,"medium","pending",2024-10-23,,
1581,"water","quality","Pipeline leakage near residential complex wasting water for past 1 days","Pipeline leakage near residential complex wasting water for past 1 days.","CV Raman Nagar Ward 138",130,12.8484,77.5745,"medium","in-progress",2024-06-21,,
1582,"roads","flooding","Road marking faded on Basavanagudi causing confusion","Road marking faded on Basavanagudi causing confusion.","Basavanagudi Ward 160",121,12.9556,77.5260,"medium","in-progress",2024-06-05,,
1583,"water","supply","Pipeline leakage near metro station wasting water for past 1 days","Pipeline leakage near metro station wasting water for past 1 days.","Sarjapur Road Ward 151",56,13.0038,77.6898,"medium","resolved",2024-11-10,2024-11-12,50
1584,"water","pressure","Irregular water supply schedule in Basavanagudi","Irregular water supply schedule in Basavanagudi. Request for timely supply.","Basavanagudi Ward 194",68,13.1111,77.6632,"medium","escalated",2024-01-20,,
1585,"water","quality","Low water pressure in Jayanagar during morning hours","Low water pressure in Jayanagar during morning hours. Difficulty filling tanks.","Jayanagar Ward 169",118,13.0198,77.5568,"medium","in-progress",2024-04-27,,
1586,"water","quality","Low water pressure in Vijayanagar during morning hours","Low water pressure in Vijayanagar during morning hours. Difficulty filling tanks.","Vijayanagar Ward 83",182,13.0699,77.6182,"medium","escalated",2024-07-11,,
1587,"roads","pothole","Waterlogging issue in Malleshwaram during monsoon","Waterlogging issue in Malleshwaram during monsoon.","Malleshwaram Ward 104",185,12.8705,77.5145,"medium","resolved",2024-09-18,2024-09-19,15
1588,"roads","pothole","Waterlogging issue in Whitefield during monsoon","Waterlogging issue in Whitefield during monsoon.","Whitefield Ward 126",93,12.9356,77.6057,"medium","resolved",2024-02-08,2024-02-11,66
1589,"water","quality","Water meter malfunction in Vijayanagar","Water meter malfunction in Vijayanagar. Billing discrepancy issues.","Vijayanagar Ward 140",176,12.9723,77.5177,"medium","escalated",2024-09-11,,
1590,"electricity","outage","Voltage fluctuations damaging electronics in Yelahanka","Voltage fluctuations damaging electronics in Yelahanka.","Yelahanka Ward 115",170,12.8266,77.7125,"medium","resolved",2024-06-15,2024-06-19,83
1591,"electricity","streetlight","Power cuts 7 times daily in Electronic City","Power cuts 7 times daily in Electronic City. Work disruption.","Electronic City Ward 124",160,12.8620,77.5345,"medium","in-progress",2024-10-20,,
1592,"roads","maintenance","Road marking faded on HSR Layout causing confusion","Road marking faded on HSR Layout causing confusion.","HSR Layout Ward 84",133,12.9732,77.6135,"medium","pending",2024-02-15,,
1593,"water","supply","Pipeline leakage near post office wasting water for past 7 days","Pipeline leakage near post office wasting water for past 7 days.","Sarjapur Road Ward 54",57,12.8297,77.5712,"medium","escalated",2024-12-23,,
1594,"water","quality","Low water pressure in CV Raman Nagar during morning hours","Low water pressure in CV Raman Nagar during morning hours. Difficulty filling tanks.","CV Raman Nagar Ward 6",145,12.9140,77.5812,"medium","escalated",2024-07-10,,
1595,"electricity","transformer","Street lights not working in Vijayanagar for 7 days","Street lights not working in Vijayanagar for 7 days. Safety concern.","Vijayanagar Ward 121",120,13.0107,77.5337,"medium","resolved",2024-07-14,2024-07-14,5
1596,"roads","flooding","Waterlogging issue in Hebbal during monsoon","Waterlogging issue in Hebbal during monsoon.","Hebbal Ward 73",80,12.8668,77.5454,"medium","escalated",2024-08-13,,
1597,"water","quality","Low water pressure in Electronic City during morning hours","Low water pressure in Electronic City during morning hours. Difficulty filling tanks.","Electronic City Ward 108",183,12.8350,77.6747,"medium","escalated",2024-04-10,,
1598,"electricity","streetlight","Street lights not working in Banashankari for 4 days","Street lights not working in Banashankari for 4 days. Safety concern.","Banashankari Ward 155",194,13.0926,77.5846,"medium","escalated",2024-09-06,,
1599,"water","pressure","Water meter malfunction in Vijayanagar","Water meter malfunction in Vijayanagar. Billing discrepancy issues.","Vijayanagar Ward 136",125,13.0374,77.5082,"medium","resolved",2024-12-12,2024-12-13,18
1600,"electricity","streetlight","Electric pole damaged near park entrance","Electric pole damaged near park entrance. Needs repair.","CV Raman Nagar Ward 36",136,13.0968,77.6095,"medium","in-progress",2024-03-19,,
1601,"electricity","streetlight","Street lights not working in Rajajinagar for 6 days","Street lights not working in Rajajinagar for 6 days. Safety concern.","Rajajinagar Ward 8",140,13.0075,77.5844,"medium","resolved",2024-01-09,2024-01-14,116
1602,"roads","pothole","Multiple potholes on Whitefield road","Multiple potholes on Whitefield road. Vehicle damage risk.","Whitefield Ward 188",161,12.8775,77.5411,"medium","in-progress",2024-10-16,,
1603,"roads","pothole","Multiple potholes on Banashankari road","Multiple potholes on Banashankari road. Vehicle damage risk.","Banashankari Ward 112",179,12.9395,77.6636,"medium","pending",2024-11-06,,
1604,"roads","repair","Waterlogging issue in Whitefield during monsoon","Waterlogging issue in Whitefield during monsoon.","Whitefield Ward 130",121,13.0191,77.4857,"medium","resolved",2024-12-01,2024-12-05,101
1605,"roads","pothole","Waterlogging issue in Koramangala during monsoon","Waterlogging issue in Koramangala during monsoon.","Koramangala Ward 127",157,12.8326,77.5054,"medium","resolved",2024-06-19,2024-06-21,41
1606,"roads","maintenance","Road surface damaged in CV Raman Nagar","Road surface damaged in CV Raman Nagar. Needs resurfacing.","CV Raman Nagar Ward 162",150,13.1009,77.5536,"medium","in-progress",2024-03-17,,
1607,"water","pressure","Low water pressure in HSR Layout during morning hours","Low water pressure in HSR Layout during morning hours. Difficulty filling tanks.","HSR Layout Ward 191",61,12.9863,77.4580,"medium","resolved",2024-10-01,2024-10-02,6
1608,"roads","maintenance","Multiple potholes on Hebbal road","Multiple potholes on Hebbal road. Vehicle damage risk.","Hebbal Ward 160",23,13.0288,77.7036,"medium","pending",2024-06-16,,
1609,"water","quality","Low water pressure in Rajajinagar during morning hours","Low water pressure in Rajajinagar during morning hours. Difficulty filling tanks.","Rajajinagar Ward 143",168,13.0906,77.6947,"medium","in-progress",2024-01-27,,
1610,"water","leakage","Low water pressure in Sarjapur Road during morning hours","Low water pressure in Sarjapur Road during morning hours. Difficulty filling tanks.","Sarjapur Road Ward 116",151,12.9134,77.6272,"medium","in-progress",2024-06-08,,
